Time,mean_fraction_lambda_H
61.5,0.335131
61.75,0.494811
62,0.360705
62.25,0.327254
62.5,0.419972
62.75,0.505504
63,0.305954
63.25,0.420466
63.5,0.262609
63.75,0.441549
64,0.124922
64.25,0
64.5,0.33099
64.75,0.23901
65,0
65.25,0.0694713
65.5,0.142136
65.75,0.597036
66,0.466075
66.25,0.329695
66.5,0.989152
66.75,0.219543
67,0.735
67.25,0.331261
67.5,0.485286
67.75,0.497975
68,0.495756
68.25,0.334022
68.5,0.746174
68.75,0.332359
69,0.191132
69.25,0.423633
69.5,0.492608
69.75,0.333251
70,0.498045
70.25,0.998211
70.5,0.663421
70.75,0.538869
71,0.747958
71.25,0.499897
71.5,0.998606
71.75,0
72,0.49986
72.25,0.332645
72.5,0.496672
72.75,0
73,0
73.25,0
73.5,0
73.75,0
74,0.331867
74.25,0
74.5,0
74.75,0.490023
75,0
75.25,0.999177
75.5,0
75.75,0
76,0
76.25,0
76.5,0
76.75,0.993072
77,0
77.25,0
77.5,0.998564
77.75,0
78,0
78.25,0
78.5,0
78.75,0
79,0.99987
79.25,0
79.5,0
79.75,0
80,0
80.25,0
80.5,0
80.75,0
81,0
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0.999774
84.5,0
84.75,0
85,0
85.25,0
85.5,0
85.75,0
86,0
86.25,0.999653
86.5,0
86.75,0
87,0
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0.499971
89,0
89.25,0
89.5,0
89.75,0.999936
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0.999916
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0.999996
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
