Time,susceptible_lambda_C
96.75,0.0672001
97,0.0672001
97.25,0.0672001
97.5,0.0672001
97.75,0.0672001
98,0.0672001
98.25,0.0672001
98.5,0.0625462
98.75,0.0625462
99,0.0601045
99.25,0.0601045
99.5,0.0601045
99.75,0.0601045
100,0.0601045
100.25,0.0601045
100.5,0.0601045
100.75,0.0601045
101,0.0601045
101.25,0.0601045
101.5,0.0601045
101.75,0.054677
102,0.054677
102.25,0.054677
102.5,0.054677
102.75,0.054677
103,0.054677
103.25,0.054677
103.5,0.054677
103.75,0.054677
104,0.054677
104.25,0.0288709
104.5,0.0288709
104.75,0.0117259
105,0.0117259
105.25,0.0117259
105.5,0.0117259
105.75,0.0117259
106,4.8246e-12
106.25,4.8246e-12
106.5,4.8246e-12
106.75,4.8246e-12
107,4.8246e-12
107.25,4.8246e-12
107.5,4.8246e-12
107.75,4.8246e-12
108,4.8246e-12
108.25,4.8246e-12
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
